hidden_layers,hidden_units,accuracy,average_loss,loss,activation_fn
"5","[20, 20, 20, 20, 20]","0.9733006954193115","0.1337495595216751","134.8468475341797","sigmoid"
"10","[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]","0.606109082698822","0.9618721008300781","969.7633666992188","sigmoid"
"20","[20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]","0.17851504683494568","1.6411378383636475","1654.6019287109375","sigmoid"
"30","[20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]","0.17851504683494568","1.6516512632369995","1665.2015380859375","sigmoid"
"1","[50]","0.991640031337738","0.07094171643257141","71.52373504638672","sigmoid"
"2","[50, 50]","0.9918019771575928","0.08653987944126129","87.24986267089844","sigmoid"
"5","[50, 50, 50, 50, 50]","0.9802032113075256","0.10717961192131042","108.05892181396484","sigmoid"
"10","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]","0.17851504683494568","1.6463263034820557","1659.8328857421875","sigmoid"
"20","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50]","0.17851504683494568","1.6448488235473633","1658.34326171875","sigmoid"
"30","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50]","0.17851504683494568","1.6375573873519897","1650.9920654296875","sigmoid"
"1","[100]","0.9909922480583191","0.059422899037599564","59.9104118347168","sigmoid"
"2","[100, 100]","0.9924497008323669","0.05948668718338013","59.9747200012207","sigmoid"
"5","[100, 100, 100, 100, 100]","0.9861139059066772","0.07720909267663956","77.84252166748047","sigmoid"
"10","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","0.17851504683494568","1.6598631143569946","1673.480712890625","sigmoid"
"20","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","0.17851504683494568","1.6204421520233154","1633.7364501953125","sigmoid"
"30","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","0.17851504683494568","1.623133659362793","1636.449951171875","sigmoid"
"5","[20, 40, 60, 80, 100]","0.9683211445808411","0.12881439924240112","129.87120056152344","sigmoid"
"5","[100, 80, 60, 40, 20]","0.9819238185882568","0.09479710459709167","95.5748291015625","sigmoid"
"10","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","0.17851504683494568","1.6184769868850708","1631.755126953125","sigmoid"
"10","[100, 90, 80, 70, 60, 50, 40, 30, 20, 10]","0.17851504683494568","1.639405608177185","1652.8553466796875","sigmoid"
"20","[5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100]","0.17851504683494568","1.6020278930664062","1615.1710205078125","sigmoid"
